sep=;
184;2;IM Motors;IM Motors;LS9;LS9;IM Motors LS9;;/samochody/im-motors/ls9/;IM Motors LS9 2025;?;;do potwierdzenia (fallback) | MARKA: SAIC premium EV;
185;2;Jetour Shanhai;Jetour;Jetour Traveller C-DM;Traveller C-DM;Jetour Traveller C-DM;;/samochody/jetour/traveller-c-dm/;Jetour Traveller C-DM 2025;?;;"do potwierdzenia (fallback) | MARKA: Shanhai = offroad line Jetour; merge";
186;2;Leapmotor;Leapmotor;零跑Lafa5;Lafa 5;Leapmotor Lafa 5;;/samochody/leapmotor/lafa-5/;Leapmotor Lafa 5 2025;?;kompakt EV;translit z CN | MARKA: partnerstwo Stellantis dla EU;
187;2;Li Auto;Li Auto;Li Auto i8;i8;Li Auto i8;;/samochody/li-auto/i8/;Li Auto i8 2025;?;;do potwierdzenia (fallback);
188;2;Li Auto;Li Auto;Li i6;Li i6;Li Auto Li i6;;/samochody/li-auto/li-i6/;Li Auto Li i6 2025;?;;do potwierdzenia (fallback);
189;2;Lynk & Co;Lynk & Co;Lynk & Co 900;900;Lynk & Co 900;;/samochody/lynk-co/900/;Lynk & Co 900 2025;?;;do potwierdzenia (fallback) | MARKA: Geely, obecny w EU;
190;2;MINI;MINI;MINI;;?;;?;?;?;;"do potwierdzenia (fallback) | MARKA: BMW; w CN JV z Great Wall dla EV";
191;2;MINI;MINI;MINI Cooper Electric;Cooper Electric;MINI Cooper Electric;;/samochody/mini/cooper-electric/;MINI Cooper Electric 2025;?;;"do potwierdzenia (fallback) | MARKA: BMW; w CN JV z Great Wall dla EV";
192;2;Mazda;Mazda;EZ-60;EZ-60;Mazda EZ-60;;/samochody/mazda/ez-60/;Mazda EZ-60 2025;?;;do potwierdzenia (fallback) | MARKA: japońska;
193;2;Mazda;Mazda;Mazda EZ-6;EZ-6;Mazda EZ-6;;/samochody/mazda/ez-6/;Mazda EZ-6 2025;?;;do potwierdzenia (fallback) | MARKA: japońska;
194;2;NIO;NIO;NIO ET7;ET7;NIO ET7;;/samochody/nio/et7/;NIO ET7 2025;Y;sedan;MARKA: obecny w EU od 2021;
195;2;NIO;NIO;NIO ET9;ET9;NIO ET9;;/samochody/nio/et9/;NIO ET9 2025;?;;do potwierdzenia (fallback) | MARKA: obecny w EU od 2021;
196;2;Nissan;Nissan;Pathfinder;Pathfinder;Nissan Pathfinder;;/samochody/nissan/pathfinder/;Nissan Pathfinder 2025;?;;do potwierdzenia (fallback) | MARKA: japońska, JV Dongfeng-Nissan dla CN;
197;2;Smart;Smart;smart #5;#5;Smart #5;;/samochody/smart/hash5/;Smart #5 2025;?;;do potwierdzenia (fallback) | MARKA: Geely-Mercedes JV;
198;2;Volkswagen;Volkswagen;Golf;Golf;Volkswagen Golf;;/samochody/volkswagen/golf/;Volkswagen Golf 2025;?;;do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive;
199;2;Volkswagen;Volkswagen;ID.4 CROZZ;ID.4 CROZZ;Volkswagen ID.4 CROZZ;;/samochody/volkswagen/id-4-crozz/;Volkswagen ID.4 CROZZ 2025;?;;do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive;
200;2;Volkswagen;Volkswagen;ID.4 X;ID.4 X;Volkswagen ID.4 X;;/samochody/volkswagen/id-4-x/;Volkswagen ID.4 X 2025;?;;do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive;
201;2;Volkswagen;Volkswagen;T-Roc;T-Roc;Volkswagen T-Roc;;/samochody/volkswagen/t-roc/;Volkswagen T-Roc 2025;?;;do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive;
202;2;Volkswagen;Volkswagen;Volkswagen CC;CC;Volkswagen CC;;/samochody/volkswagen/cc/;Volkswagen CC 2025;?;;do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive;
203;2;Voyah;Voyah;Taishan;Taishan;Voyah Taishan;;/samochody/voyah/taishan/;Voyah Taishan 2025;?;;do potwierdzenia (fallback) | MARKA: Dongfeng premium EV;
204;1;Audi;Audi;Audi E5 Sportback;E5 Sportback;Audi E5 Sportback;;/samochody/audi/e5-sportback/;Audi E5 Sportback 2025;?;;"do potwierdzenia (fallback) | MARKA: niemiecka; JV SAIC-Audi dla CN (Audi A7L, E5 Sportback)";
205;1;BYD;BYD;Seal 06 DM Wagon;Seal 06 DM Wagon;BYD Seal 06 DM Wagon;;/samochody/byd/seal-06-dm-wagon/;BYD Seal 06 DM Wagon 2025;?;;do potwierdzenia (fallback);
206;1;BYD;BYD;Seal DM;Seal DM;BYD Seal DM;;/samochody/byd/seal-dm/;BYD Seal DM 2025;?;;do potwierdzenia (fallback);
207;1;BYD;BYD;Tang L EV;Tang L EV;BYD Tang L EV;;/samochody/byd/tang-l-ev/;BYD Tang L EV 2025;?;;do potwierdzenia (fallback);
208;1;Beijing Off-Road;BAIC;Beijing Off-road BJ40 EREV;BJ40 EREV;BAIC BJ40 EREV;;/samochody/baic/bj40-erev/;BAIC BJ40 EREV 2025;?;;do potwierdzenia (fallback) | MARKA: Beijing Off-Road = BAIC BJ series;
209;1;Beijing Off-Road;BAIC;Beijing Off-road BJ60;BJ60;BAIC BJ60;;/samochody/baic/bj60/;BAIC BJ60 2025;?;;do potwierdzenia (fallback) | MARKA: Beijing Off-Road = BAIC BJ series;
210;1;Changan;Changan;Changan UNI-V iDD;UNI-V iDD;Changan UNI-V iDD;;/samochody/changan/uni-v-idd/;Changan UNI-V iDD 2025;?;;do potwierdzenia (fallback) | MARKA: debiut EU 2024+;
211;1;Changan;Changan;长安CS55 PLUS PHEV;CS55 Plus PHEV;Changan CS55 Plus PHEV;;/samochody/changan/cs55-plus-phev/;Changan CS55 Plus PHEV 2025;?;SUV;translit z CN | MARKA: debiut EU 2024+;
212;1;Chery;Chery;Tiggo 7;Tiggo 7;Chery Tiggo 7;;/samochody/chery/tiggo-7/;Chery Tiggo 7 2025;?;;do potwierdzenia (fallback) | MARKA: w EU także sub-brandy Omoda/Jaecoo;
213;1;Chery;Chery;Tiggo 7 C-DM;Tiggo 7 C-DM;Chery Tiggo 7 C-DM;;/samochody/chery/tiggo-7-c-dm/;Chery Tiggo 7 C-DM 2025;?;;do potwierdzenia (fallback) | MARKA: w EU także sub-brandy Omoda/Jaecoo;
214;1;Chery;Chery;Tiggo 8;Tiggo 8;Chery Tiggo 8;;/samochody/chery/tiggo-8/;Chery Tiggo 8 2025;Y;SUV 7-os;MARKA: w EU także sub-brandy Omoda/Jaecoo;
215;1;Chery Fengyun;Chery Fengyun;Fengyun A8;A8;Chery Fengyun A8;;/samochody/chery-fengyun/a8/;Chery Fengyun A8 2025;?;;do potwierdzenia (fallback) | MARKA: PHEV sub-brand Chery;
216;1;Chery Fengyun;Chery Fengyun;Fengyun A8L;A8L;Chery Fengyun A8L;;/samochody/chery-fengyun/a8l/;Chery Fengyun A8L 2025;N;sedan PHEV;MARKA: PHEV sub-brand Chery;
217;1;Chery Fengyun;Chery Fengyun;Fengyun X3 PLUS;X3 PLUS;Chery Fengyun X3 PLUS;;/samochody/chery-fengyun/x3-plus/;Chery Fengyun X3 PLUS 2025;?;;do potwierdzenia (fallback) | MARKA: PHEV sub-brand Chery;
218;1;Chery Fengyun;Chery Fengyun;风云X3L;X3L;Chery Fengyun X3L;;/samochody/chery-fengyun/x3l/;Chery Fengyun X3L 2025;N;SUV PHEV;translit z CN | MARKA: PHEV sub-brand Chery;
219;1;Denza;Denza;Denza D9 EV;D9 EV;Denza D9 EV;;/samochody/denza/d9-ev/;Denza D9 EV 2025;?;;do potwierdzenia (fallback) | MARKA: BYD-Mercedes JV;
220;1;Denza;Denza;Denza N8L DM;N8L DM;Denza N8L DM;;/samochody/denza/n8l-dm/;Denza N8L DM 2025;?;;do potwierdzenia (fallback) | MARKA: BYD-Mercedes JV;
221;1;Denza;Denza;Denza Z9 GT EV;Z9 GT EV;Denza Z9 GT EV;;/samochody/denza/z9-gt-ev/;Denza Z9 GT EV 2025;?;;do potwierdzenia (fallback) | MARKA: BYD-Mercedes JV;
222;1;Denza;Denza;N8L DM;N8L DM;Denza N8L DM;;/samochody/denza/n8l-dm/;Denza N8L DM 2025;?;;do potwierdzenia (fallback) | MARKA: BYD-Mercedes JV;
223;1;Dongfeng Fengxing;Dongfeng Fengxing;Xinghai V9;Xinghai V9;Dongfeng Fengxing Xinghai V9;;/samochody/dongfeng-fengxing/xinghai-v9/;Dongfeng Fengxing Xinghai V9 2025;?;;do potwierdzenia (fallback) | MARKA: do potwierdzenia (marka nie zmapowana);
224;1;Exeed;Exeed;Exeed Lingyun;Lingyun;Exeed Lingyun;;/samochody/exeed/lingyun/;Exeed Lingyun 2025;?;SUV;"MARKA: niszowa premium CN Chery; TYLKO Yaoguang/RX rebrand→Omoda 9 (per-model override)";
225;1;Exeed;Exeed;Exeed Yaoguang C-DM;RX;Exeed RX (Omoda 9 SHS);Omoda 9 SHS;/samochody/exeed/rx/;Exeed RX (Omoda 9 SHS) 2025;Y;SUV flagship PHEV;"Yaoguang C-DM PHEV 537 KM | MARKA: niszowa premium CN Chery; TYLKO Yaoguang/RX rebrand→Omoda 9 (per-model override)";
226;1;Exeed;Exeed;星途ET5;ET5;Exeed ET5;;/samochody/exeed/et5/;Exeed ET5 2025;?;sedan;"translit Xingtu ET5 | MARKA: niszowa premium CN Chery; TYLKO Yaoguang/RX rebrand→Omoda 9 (per-model override)";
227;1;GAC Trumpchi;GAC;Trumpchi E8 PHEV;Trumpchi E8 PHEV;GAC Trumpchi E8 PHEV;;/samochody/gac/trumpchi-e8-phev/;GAC Trumpchi E8 PHEV 2025;?;;"do potwierdzenia (fallback) | MARKA: Trumpchi = CN name; w EU GAC";
228;1;GAC Trumpchi;GAC;Trumpchi ES9 PHEV;Trumpchi ES9 PHEV;GAC Trumpchi ES9 PHEV;;/samochody/gac/trumpchi-es9-phev/;GAC Trumpchi ES9 PHEV 2025;?;;"do potwierdzenia (fallback) | MARKA: Trumpchi = CN name; w EU GAC";
229;1;Galaxy;Geely;Yizhen L380;Yizhen L380;Geely Yizhen L380;;/samochody/geely/yizhen-l380/;Geely Yizhen L380 2025;?;;"do potwierdzenia (fallback) | MARKA: scalone do Geely; nazwa Galaxy zachowana w serie";
230;1;Galaxy;Geely;银河星耀6;Galaxy Starship 6;Geely Galaxy Starship 6;;/samochody/geely/galaxy-starship-6/;Geely Galaxy Starship 6 2025;?;sedan;"translit z CN | MARKA: scalone do Geely; nazwa Galaxy zachowana w serie";
231;1;Geely;Geely;Binrui;Binrui;Geely Binrui;;/samochody/geely/binrui/;Geely Binrui 2025;?;;do potwierdzenia (fallback) | MARKA: niektóre modele mają EU-names (Monjaro, Preface);
232;1;Geely;Geely;Binyue;Binyue;Geely Binyue;;/samochody/geely/binyue/;Geely Binyue 2025;?;;do potwierdzenia (fallback) | MARKA: niektóre modele mają EU-names (Monjaro, Preface);
233;1;Geely;Geely;Boyue;Boyue;Geely Boyue;;/samochody/geely/boyue/;Geely Boyue 2025;?;;do potwierdzenia (fallback) | MARKA: niektóre modele mają EU-names (Monjaro, Preface);
234;1;Geely;Geely;Geely ICON;ICON;Geely ICON;;/samochody/geely/icon/;Geely ICON 2025;?;;do potwierdzenia (fallback) | MARKA: niektóre modele mają EU-names (Monjaro, Preface);
235;1;Geely;Geely;Niuzai;Niuzai;Geely Niuzai;;/samochody/geely/niuzai/;Geely Niuzai 2025;?;;do potwierdzenia (fallback) | MARKA: niektóre modele mają EU-names (Monjaro, Preface);
236;1;Great Wall;GWM;King Kong Cannon;King Kong Cannon;GWM King Kong Cannon;;/samochody/gwm/king-kong-cannon/;GWM King Kong Cannon 2025;?;;do potwierdzenia (fallback) | MARKA: Great Wall używa GWM w EU;
237;1;Haval;Haval;Haval H5;H5;Haval H5;;/samochody/haval/h5/;Haval H5 2025;?;;do potwierdzenia (fallback) | MARKA: GWM;
238;1;Haval;Haval;哈弗猛龙燃油版;Raptor (benzyna);Haval Raptor (benzyna);;/samochody/haval/raptor-benzyna/;Haval Raptor (benzyna) 2025;?;off-road SUV;translit Menglong = Raptor | MARKA: GWM;
239;1;Hongqi;Hongqi;Hongqi H5 PHEV;H5 PHEV;Hongqi H5 PHEV;;/samochody/hongqi/h5-phev/;Hongqi H5 PHEV 2025;?;;do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne;
240;1;Hongqi;Hongqi;Hongqi H6;H6;Hongqi H6;;/samochody/hongqi/h6/;Hongqi H6 2025;?;sedan coupe;MARKA: FAW premium, EU mało obecne;
241;1;Hongqi;Hongqi;Hongqi HQ9;HQ9;Hongqi HQ9;;/samochody/hongqi/hq9/;Hongqi HQ9 2025;?;;do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne;
242;1;Jetour;Jetour;Jetour X70;X70;Jetour X70;;/samochody/jetour/x70/;Jetour X70 2025;Y;SUV;MARKA: Chery SUV/offroad, obecny w EU;
243;1;Jetour;Jetour;Jetour X70 C-DM;X70 C-DM;Jetour X70 C-DM;;/samochody/jetour/x70-c-dm/;Jetour X70 C-DM 2025;?;;do potwierdzenia (fallback) | MARKA: Chery SUV/offroad, obecny w EU;
244;1;Jetour;Jetour;Jetour X90 PRO;X90 PRO;Jetour X90 PRO;;/samochody/jetour/x90-pro/;Jetour X90 PRO 2025;?;;do potwierdzenia (fallback) | MARKA: Chery SUV/offroad, obecny w EU;
245;1;Jetour Shanhai;Jetour;Jetour Shanhai L7;Shanhai L7;Jetour Shanhai L7;;/samochody/jetour/shanhai-l7/;Jetour Shanhai L7 2025;?;off-road SUV PHEV;"MARKA: Shanhai = offroad line Jetour; merge";
246;1;Jetour Shanhai;Jetour;Jetour Shanhai L9;Shanhai L9;Jetour Shanhai L9;;/samochody/jetour/shanhai-l9/;Jetour Shanhai L9 2025;?;off-road SUV PHEV;"MARKA: Shanhai = offroad line Jetour; merge";
247;1;Jetour Shanhai;Jetour;捷途旅行者C-DM;Traveler C-DM;Jetour Traveler C-DM;;/samochody/jetour/traveler-c-dm/;Jetour Traveler C-DM 2025;?;off-road SUV PHEV;"translit z CN | MARKA: Shanhai = offroad line Jetour; merge";
248;1;Li Auto;Li Auto;Li Auto L8;L8;Li Auto L8;;/samochody/li-auto/l8/;Li Auto L8 2025;Y;SUV EREV;;
249;1;Mazda;Mazda;Mazda CX-50;CX-50;Mazda CX-50;;/samochody/mazda/cx-50/;Mazda CX-50 2025;N;SUV;USA/CN | MARKA: japońska;
250;1;Nissan;Nissan;Sylphy;Sylphy;Nissan Sylphy;;/samochody/nissan/sylphy/;Nissan Sylphy 2025;N;sedan;"CN; EU: Almera | MARKA: japońska, JV Dongfeng-Nissan dla CN";
251;1;Nissan;Nissan;Teana;Teana;Nissan Teana;;/samochody/nissan/teana/;Nissan Teana 2025;N;sedan;"CN; EU: Altima | MARKA: japońska, JV Dongfeng-Nissan dla CN";
252;1;Tank;Tank;Tank 400 Hi4-T;400 Hi4-T;Tank 400 Hi4-T;;/samochody/tank/400-hi4-t/;Tank 400 Hi4-T 2025;Y;off-road SUV PHEV;MARKA: GWM off-road;
253;1;Tank;Tank;Tank 700 Hi4-T;700 Hi4-T;Tank 700 Hi4-T;;/samochody/tank/700-hi4-t/;Tank 700 Hi4-T 2025;Y;off-road SUV PHEV;MARKA: GWM off-road;
254;1;Volvo;Volvo;Volvo S90 PHEV;S90 T8 PHEV;Volvo S90 T8 PHEV;;/samochody/volvo/s90-t8-phev/;Volvo S90 T8 PHEV 2025;Y;sedan;MARKA: europejska (Geely owned);
255;1;Volvo;Volvo;Volvo V90;V90;Volvo V90;;/samochody/volvo/v90/;Volvo V90 2025;Y;kombi;MARKA: europejska (Geely owned);
256;1;Volvo;Volvo;Volvo XC40;XC40;Volvo XC40;;/samochody/volvo/xc40/;Volvo XC40 2025;Y;SUV;MARKA: europejska (Geely owned);
257;1;Volvo;Volvo;Volvo XC60 PHEV;XC60 T8 PHEV;Volvo XC60 T8 PHEV;;/samochody/volvo/xc60-t8-phev/;Volvo XC60 T8 PHEV 2025;Y;SUV PHEV;MARKA: europejska (Geely owned);
258;1;Volvo;Volvo;Volvo XC90 PHEV;XC90 T8 PHEV;Volvo XC90 T8 PHEV;;/samochody/volvo/xc90-t8-phev/;Volvo XC90 T8 PHEV 2025;Y;SUV 7-os PHEV;MARKA: europejska (Geely owned);
259;1;Volvo;Volvo;XC70;XC70;Volvo XC70;;/samochody/volvo/xc70/;Volvo XC70 2025;?;SUV PHEV;2025+ nowa gen | MARKA: europejska (Geely owned);
260;1;Voyah;Voyah;Voyah Dreamer EV;Dreamer EV;Voyah Dreamer EV;;/samochody/voyah/dreamer-ev/;Voyah Dreamer EV 2025;?;MPV EV;MARKA: Dongfeng premium EV;
261;1;Voyah;Voyah;Voyah Zhiyin;Zhiyin;Voyah Zhiyin;;/samochody/voyah/zhiyin/;Voyah Zhiyin 2025;?;sedan EV;MARKA: Dongfeng premium EV;
262;1;WEY;WEY;Latte PHEV;Latte PHEV;WEY Latte PHEV;;/samochody/wey/latte-phev/;WEY Latte PHEV 2025;?;SUV PHEV;MARKA: GWM premium;
263;1;WEY;WEY;Mocha PHEV;Mocha PHEV;WEY Mocha PHEV;;/samochody/wey/mocha-phev/;WEY Mocha PHEV 2025;?;SUV PHEV;MARKA: GWM premium;
264;1;XPeng;XPENG;XPeng P5;P5;XPENG P5;;/samochody/xpeng/p5/;XPENG P5 2025;Y;sedan;MARKA: oficjalnie all-caps;
265;1;Yangwang;BYD;Yangwang U7 PHEV;Yangwang U7;BYD Yangwang U7;;/samochody/byd/yangwang-u7/;BYD Yangwang U7 2025;?;sedan flagship PHEV;"MARKA: scalone do BYD; nazwa Yangwang zachowana w serie";
266;1;iCAR;iCAR;iCAR V27;V27;iCAR V27;;/samochody/icar/v27/;iCAR V27 2025;?;;do potwierdzenia (fallback) | MARKA: Chery sub-brand EV;
